MooreRank,Team,W,L,T,MooreSOS,MoorePR,Season,TeamID
349,ABILENE CHRISTIAN,11,20,0,53.41,44.61,2014,1101
346,ABILENE CHRISTIAN,10,21,0,57.8,44.15,2015,1101
311,ABILENE CHRISTIAN,13,18,0,55.55,51.03,2016,1101
317,ABILENE CHRISTIAN,13,16,0,51.57,48.6,2017,1101
265,ABILENE CHRISTIAN,16,16,0,55.82,58,2018,1101
227,AIR FORCE,10,21,0,69.19,62.65,2010,1102
140,AIR FORCE,16,16,0,69.54,68.99,2011,1102
173,AIR FORCE,13,16,0,67.24,66.06,2012,1102
131,AIR FORCE,18,14,0,69.34,69.16,2013,1102
224,AIR FORCE,12,18,0,66.26,61.55,2014,1102
181,AIR FORCE,14,17,0,65.01,64.31,2015,1102
248,AIR FORCE,14,18,0,61.43,57.14,2016,1102
213,AIR FORCE,12,21,0,61.33,56.93,2017,1102
231,AIR FORCE,12,19,0,62.89,60.2,2018,1102
124,AKRON,24,11,0,67.08,71.22,2010,1103
112,AKRON,23,13,0,66.54,71.99,2011,1103
93,AKRON,22,12,0,68.6,73.88,2012,1103
76,AKRON,26,7,0,67.28,74.62,2013,1103
145,AKRON,21,13,0,65.59,67.74,2014,1103
99,AKRON,21,14,0,64.54,70.2,2015,1103
93,AKRON,26,9,0,63.02,70.73,2016,1103
126,AKRON,27,9,0,59.77,63.71,2017,1103
266,AKRON,14,18,0,61.4,57.98,2018,1103
53,ALABAMA,17,15,0,75.56,80.07,2010,1104
36,ALABAMA,25,12,0,72.67,81.99,2011,1104
39,ALABAMA,21,12,0,74.34,79.73,2012,1104
43,ALABAMA,23,13,0,73.82,78.98,2013,1104
81,ALABAMA,13,19,0,73.98,74,2014,1104
55,ALABAMA,19,15,0,72.9,76,2015,1104
89,ALABAMA,18,15,0,72.78,71.04,2016,1104
57,ALABAMA,19,15,0,69.98,72.42,2017,1104
44,ALABAMA,20,16,0,76.41,77.08,2018,1104
337,ALABAMA A&M,11,16,0,56.72,48.4,2010,1105
330,ALABAMA A&M,13,15,0,55.56,50.2,2011,1105
338,ALABAMA A&M,7,21,0,55.6,46.92,2012,1105
342,ALABAMA A&M,11,20,0,55.81,46.59,2013,1105
327,ALABAMA A&M,14,16,0,55.49,50.92,2014,1105
345,ALABAMA A&M,9,20,0,54.69,45.64,2015,1105
339,ALABAMA A&M,11,18,0,51.46,46.91,2016,1105
351,ALABAMA A&M,2,27,0,51.96,36.54,2017,1105
350,ALABAMA A&M,3,28,0,58.43,45.16,2018,1105
68,ALABAMA BIRMINGHAM,25,9,0,71.38,78.22,2010,1412
75,ALABAMA BIRMINGHAM,22,9,0,70.97,76.4,2011,1412
117,ALABAMA BIRMINGHAM,15,16,0,70.6,71.7,2012,1412
150,ALABAMA BIRMINGHAM,16,17,0,67.88,67.49,2013,1412
170,ALABAMA BIRMINGHAM,18,13,0,64.68,65.76,2014,1412
119,ALABAMA BIRMINGHAM,20,16,0,66.5,68.2,2015,1412
122,ALABAMA BIRMINGHAM,26,7,0,60.55,67.3,2016,1412
180,ALABAMA BIRMINGHAM,17,16,0,58.99,59.26,2017,1412
137,ALABAMA BIRMINGHAM,20,13,0,61.71,66.71,2018,1412
303,ALABAMA ST.,16,15,0,55.73,55.07,2010,1106
292,ALABAMA ST.,17,18,0,56.98,56.96,2011,1106
323,ALABAMA ST.,12,19,0,56.78,51.15,2012,1106
343,ALABAMA ST.,10,22,0,57.08,46.41,2013,1106
337,ALABAMA ST.,19,13,0,52.96,48.71,2014,1106
296,ALABAMA ST.,19,10,0,50.82,54.58,2015,1106
324,ALABAMA ST.,14,17,0,52.6,49.67,2016,1106
347,ALABAMA ST.,8,23,0,49.86,42.17,2017,1106
338,ALABAMA ST.,8,23,0,58.06,49.26,2018,1106
288,ALBANY,7,25,0,63.79,56.59,2010,1107
241,ALBANY,16,16,0,62.9,61.27,2011,1107
198,ALBANY,19,15,0,61.81,64.39,2012,1107
146,ALBANY,24,11,0,63,67.61,2013,1107
151,ALBANY,19,15,0,62.61,67.3,2014,1107
139,ALBANY,24,9,0,60.77,66.76,2015,1107
117,ALBANY,24,9,0,59.85,67.99,2016,1107
136,ALBANY,21,14,0,59.1,63.09,2017,1107
127,ALBANY,22,10,0,62.96,67.47,2018,1107
347,ALCORN ST.,2,29,0,59.14,38.56,2010,1108
343,ALCORN ST.,4,24,0,59.75,43.1,2011,1108
330,ALCORN ST.,9,22,0,55.2,49.48,2012,1108
340,ALCORN ST.,10,24,0,58.54,46.92,2013,1108
344,ALCORN ST.,12,19,0,59.38,47.54,2014,1108
347,ALCORN ST.,6,26,0,54.6,43.2,2015,1108
329,ALCORN ST.,15,15,0,51.46,48.7,2016,1108
