PomeroyRank,Team,Conf,TeamID,Season,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,OppO,OppD,NCSOSAdjEM
348,Abilene Christian,Slnd,1101,2014,-23.35,94,117.3,63.2,-0.045,-2.67,104.7,107.4,13.38
342,Abilene Christian,Slnd,1101,2015,-20.63,93.2,113.8,63.8,-0.003,-5.96,102,108,-1.93
317,Abilene Christian,Slnd,1101,2016,-15.24,97.1,112.3,67.8,0.025,-7.76,101.4,109.2,-0.96
298,Abilene Christian,Slnd,1101,2017,-11.86,97,108.8,65.8,0.049,-5.96,101.7,107.6,1.15
262,Abilene Christian,Slnd,1101,2018,-8.66,98.2,106.8,68.6,0.014,-6.52,101.3,107.8,-3.16
254,Air Force,MWC,1102,2010,-8.64,96.8,105.5,57.3,-0.046,2.52,103.7,101.1,-7.67
126,Air Force,MWC,1102,2011,3.43,107.2,103.8,61.1,0.021,4.4,105.1,100.7,-5.72
188,Air Force,MWC,1102,2012,-2.2,100,102.2,61.1,-0.017,1.28,102.5,101.2,-11.06
99,Air Force,MWC,1102,2013,6.74,111.7,104.9,63.2,0.034,7.17,105.7,98.5,-4.78
252,Air Force,MWC,1102,2014,-7,99.6,106.6,63.6,0.056,0.57,105.4,104.8,-9.12
204,Air Force,MWC,1102,2015,-3.01,108.1,111.2,61.7,-0.065,-1.17,102.6,103.8,-11.14
242,Air Force,MWC,1102,2016,-6.92,99.1,106,67,0.087,0.69,104.4,103.8,-4.7
222,Air Force,MWC,1102,2017,-5.22,104.3,109.5,67.1,-0.065,0.29,104.4,104.1,-6.1
237,Air Force,MWC,1102,2018,-6.25,100.5,106.8,66,0.022,1.72,105.7,104,-5.13
121,Akron,MAC,1103,2010,5.2,105.3,100.1,65.1,0.047,-1.52,102.2,103.7,-4.29
145,Akron,MAC,1103,2014,2.1,105,102.9,64,0.073,-0.8,103.7,104.5,0.1
108,Akron,MAC,1103,2015,5.77,105.1,99.4,63.6,-0.042,-0.98,104,105,-7.63
255,Akron,MAC,1103,2018,-8.08,101.8,109.9,67.8,0.068,-2.06,104.5,106.5,-5.3
62,Akron 12,MAC,1103,2013,11.52,106.8,95.2,65.2,0.085,-0.35,102.4,102.7,0.28
118,Akron 15,MAC,1103,2011,4.09,103.7,99.6,65.9,0.043,-1.7,102.5,104.2,-0.43
70,Akron 5,MAC,1103,2012,10.66,108.3,97.7,66.4,-0.021,2.81,104.6,101.8,3.86
88,Akron 6,MAC,1103,2016,8.63,110.1,101.5,67.5,0.025,-1.32,104.6,105.9,-3.29
100,Akron 7,MAC,1103,2017,6.1,112.6,106.4,66.3,0.084,-1.48,104.2,105.7,-5.23
63,Alabama,SEC,1104,2010,12.55,107.9,95.3,64.2,-0.099,6.75,106.5,99.8,-0.93
86,Alabama,SEC,1104,2014,8.54,107.8,99.2,62,-0.091,9.14,110.3,101.2,5.93
327,Alabama A&M,SWAC,1105,2010,-19.7,87.5,107.2,70.2,-0.016,-14.66,91.7,106.4,8.5
323,Alabama A&M,SWAC,1105,2011,-16.65,87,103.7,69.7,-0.001,-13.88,93.1,107,10.19
337,Alabama A&M,SWAC,1105,2012,-21.42,90,111.4,66.8,-0.063,-11.19,93.6,104.8,9.08
336,Alabama A&M,SWAC,1105,2013,-20.7,90.8,111.5,64.9,-0.004,-9.82,95.6,105.4,5.74
306,Alabama A&M,SWAC,1105,2014,-13.83,92,105.8,64.3,0.025,-10.94,98.7,109.7,4.9
336,Alabama A&M,SWAC,1105,2015,-19.09,95,114.1,63.5,-0.021,-9.62,97.8,107.4,7.67
301,Alabama A&M,SWAC,1105,2016,-13.28,100.1,113.4,65.2,-0.046,-9.75,97.7,107.4,0.76
351,Alabama A&M,SWAC,1105,2017,-30.34,91.4,121.8,64.3,-0.075,-10.15,98.7,108.9,1.08
351,Alabama A&M,SWAC,1105,2018,-28.31,86.6,114.9,65.8,-0.04,-8.1,100.2,108.3,4.85
289,Alabama St.,SWAC,1106,2010,-12.63,93.5,106.2,65.2,0.022,-11.86,93.3,105.2,8.16
315,Alabama St.,SWAC,1106,2012,-16.87,87.8,104.7,63.5,0.026,-9.96,95.4,105.4,9.52
331,Alabama St.,SWAC,1106,2013,-19.71,92.3,112,64.8,0.006,-9.61,95.4,105.1,3.16
298,Alabama St.,SWAC,1106,2014,-13.22,97.3,110.5,65.9,0.096,-12.01,97.5,109.5,-4.44
264,Alabama St.,SWAC,1106,2015,-8.31,97.8,106.1,67.5,0.03,-15.38,94.7,110.1,-2.6
286,Alabama St.,SWAC,1106,2016,-11.59,99.1,110.7,69,0.029,-7.89,99.3,107.2,4.32
342,Alabama St.,SWAC,1106,2017,-21.65,91.1,112.8,68.4,-0.007,-9.97,99,109,2.65
339,Alabama St.,SWAC,1106,2018,-19.86,95.8,115.7,68.8,-0.018,-9.14,99.2,108.4,4.68
303,Alabama St. 16,SWAC,1106,2011,-13.19,92.8,106,63.6,0.032,-11.26,94.9,106.1,6.29
51,Alabama 1,SEC,1104,2011,13.7,104.6,90.9,63.9,-0.003,3.28,104.8,101.5,-5.62
64,Alabama 1,SEC,1104,2013,11.47,103.6,92.2,60.5,0.001,4.52,104.8,100.3,1.07
56,Alabama 3,SEC,1104,2017,13.08,105.3,92.2,65.1,-0.055,7.16,108.1,100.9,-1.64
96,Alabama 5,SEC,1104,2016,8.07,105.5,97.4,64.8,0.093,9.7,110.5,100.8,4.92
55,Alabama 6,SEC,1104,2015,12.28,111.6,99.3,62.2,-0.032,7.98,108.2,100.3,-1.61
27,Alabama 9,SEC,1104,2012,16.69,106.1,89.5,61.9,-0.067,7.07,107.4,100.3,3.98
57,Alabama 9,SEC,1104,2018,13.41,108.7,95.2,68.7,0.017,11.17,110.9,99.7,2.54
295,Albany,AE,1107,2010,-13.16,97.2,110.3,63.6,-0.073,-4.25,99.6,103.8,-0.45
243,Albany,AE,1107,2011,-6.86,101.7,108.6,59.9,0.025,-5.94,99.2,105.1,-2.14
199,Albany,AE,1107,2012,-2.8,108.8,111.6,64.7,-0.019,-8.11,97.4,105.5,-5.75
121,Albany,AE,1107,2016,4.25,106.9,102.7,66.2,-0.03,-8.12,100.8,108.9,-4.63
129,Albany,AE,1107,2017,2.66,107.5,104.9,64.2,-0.038,-5.16,101.8,106.9,-2
151,Albany,AE,1107,2018,1.71,107.1,105.4,66.2,0.007,-6.49,101.4,107.9,-5.2
131,Albany 14,AE,1107,2015,3.29,107.2,103.9,60.8,0.054,-5.5,100.4,105.9,0.18
150,Albany 15,AE,1107,2013,1.36,102.6,101.3,61.7,0.082,-5.19,98.6,103.8,-6.61
181,Albany 16,AE,1107,2014,-1.04,102.9,103.9,61.6,0.002,-5.12,101.5,106.6,0.91
347,Alcorn St.,SWAC,1108,2010,-32.65,81.3,113.9,72.1,-0.03,-9.37,95.5,104.8,5.19
341,Alcorn St.,SWAC,1108,2011,-25.27,86.2,111.5,75.7,-0.019,-9.38,96.1,105.4,12.93
331,Alcorn St.,SWAC,1108,2012,-20.18,88.4,108.6,67.4,-0.046,-11.22,94.2,105.4,7.42
323,Alcorn St.,SWAC,1108,2013,-16.88,85.4,102.2,66.6,-0.045,-6.84,98.3,105.1,9.2
324,Alcorn St.,SWAC,1108,2014,-16.47,93.4,109.8,62,-0.013,-9.32,99.5,108.9,6.45
346,Alcorn St.,SWAC,1108,2015,-24.34,92.9,117.3,66.8,-0.059,-10.18,97.5,107.7,5.37
