Feature,Weight
OppAvgOppOR,1.792721515940473
AvgOppFGA,1.7551612028343901
OppAvgTO,1.6851204388438557
AvgOppTO,1.4765864044582437
AvgOppStl,1.4669806731879504
OppAvgOppDR,1.404281884970809
OppAvgDR,1.3412246800769834
AvgOppPF,1.267422242845445
W,1.2551919579710362
OppAvgFTA,1.2422517906531627
AvgOR,1.2360497576149094
L,1.231795317750545
OppAvgAst,1.2015422302875771
OppAvgOppScore,1.1922735938969402
OppAvgOppFGM3,1.1800375321898033
AvgBlk,1.1489945506216626
AvgOppFTM,1.143591694973271
OppAvgFGM3,1.136772027214677
AvgFGM,1.1206256738280433
AvgFGA3,1.120301667404441
OppAvgFGA,1.1009927998894329
AvgOppFTA,1.082964318450241
AvgOppFGA3,1.074874123136711
OppAvgOppFGM,1.063691759645967
OppAvgFTM,1.058176367245744
AvgOppAst,1.0458809475469995
AvgPF,1.03404847668479
AvgPoints,1.0295626268841789
AvgOppBlk,1.0099736176463627
OppAvgOppBlk,1.0021563410782908
OppTeamID,1.0008576901784343
Season,1.0004242018649196
AvgStl,1.0001802006044114
TeamID,0.9990402212810072
OppAvgStl,0.9959789540358992
OppAvgPoints,0.9880910306129576
OppTeamSeed,0.9855609051365785
TeamSeed,0.9752718480068637
Round,0.973677313142161
OppAvgPF,0.967228006677565
OppAvgOppAst,0.9626514018385007
AvgFTM,0.957420777472053
OppAvgOppFGA3,0.9210360677360002
AvgOppFGM,0.9166795848321957
OppAvgOppFTA,0.9129281691321902
OppAvgFGM,0.9063224971180818
OppAvgFGA3,0.8991649898070235
OppAvgOppFTM,0.8929939471193639
OppAvgBlk,0.8731521557615533
AvgFGA,0.8680534567176786
AvgOppFGM3,0.867057384132005
AvgFGM3,0.856305601823859
OppAvgOR,0.847217618291835
AvgOppPoints,0.8332090005850121
AvgAst,0.831696934697881
OppL,0.8173743571821066
OppW,0.7937460918528069
AvgFTA,0.7915736783941071
OppAvgOppPF,0.7767652550880035
AvgOppDR,0.7450196845129451
AvgDR,0.7244742740203279
OppAvgOppStl,0.6974668093095803
OppAvgOppTO,0.6830005432435442
OppAvgOppFGA,0.585549232305258
AvgTO,0.5823007938999977
AvgOppOR,0.5394177557929114
